State,City,College,Allocation_Subcategory,Gift_Allocation,Major,Gift_Amount
NY,New York,College of Arts and Sciences,Athletics,Campus Resource,Japanese,3367
NY,New York,College of Arts and Sciences,In-State Scholarship Fund,Scholarship,Japanese,1538
IL,Chicago,College of Agriculture and Natural Resources,College of Arts and Sciences,Scholarship,Horticulture,6516
IL,Chicago,College of Agriculture and Natural Resources,College of Arts and Sciences,Scholarship,Horticulture,1434
CO,Colorado Springs,College of Agriculture and Natural Resources,Faculty Chair Endowments,Endowment,Agriculture and Natural Resources-No Preference,1793
CO,Colorado Springs,College of Agriculture and Natural Resources,College of Arts and Sciences,Scholarship,Agriculture and Natural Resources-No Preference,6032
MI,Detroit,College of Music,Honors Program,Campus Resource,Composition,9739
MI,Detroit,College of Music,College of Natural Science,Scholarship,Composition,1437
OK,Oklahoma City,College of Natural Science,Alumni Association,Campus Resource,Neuroscience,2873
OK,Oklahoma City,College of Natural Science,College of Natural Science,Scholarship,Neuroscience,8916
IA,Cedar Rapids,College of Natural Science,Trustees Fund,Endowment,Environmental Biology/Plant Biol,8257
IA,Cedar Rapids,College of Natural Science,Campus Recreation,Campus Resource,Environmental Biology/Plant Biol,9344
CA,Los Angeles,College of Agriculture and Natural Resources,Campus Museums,Campus Resource,Horticulture,3071
CA,Los Angeles,College of Agriculture and Natural Resources,College of Social Science,Scholarship,Horticulture,4976
VA,Alexandria,College of Natural Science,Trustees Fund,Endowment,Actuarial Science,5288
VA,Alexandria,College of Natural Science,College of Business,Scholarship,Actuarial Science,9079
FL,Miami,College of Arts and Sciences,College of Engineering,Scholarship,Global Studies in the Arts and Humanities,6146
FL,Miami,College of Arts and Sciences,Trustees Fund,Endowment,Global Studies in the Arts and Humanities,6155
PA,Philadelphia,College of Natural Science,University Annual Fund,Endowment,Biochemistry and Molecular Biology/Biotechnology,6371
PA,Philadelphia,College of Natural Science,University Annual Fund,Endowment,Biochemistry and Molecular Biology/Biotechnology,3478
MI,Lansing,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Fisheries and Wildlife,6451
MI,Lansing,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Fisheries and Wildlife,243
MO,Kansas City,College of Engineering,Diversity Fund,Endowment,Biosystems Engineering,6301
MO,Kansas City,College of Engineering,University Annual Fund,Endowment,Biosystems Engineering,8941
MI,Lansing,College of Natural Science,University Annual Fund,Endowment,Statistics,5634
WA,Seattle,College of Social Science,College of Engineering,Scholarship,Sociology,7575
OH,Cincinnati,College of Engineering,College of Engineering,Scholarship,Computer Science,2015
IL,Chicago,College of Agriculture and Natural Resources,Faculty Chair Endowments,Endowment,Landscape Architecture,2587
IL,Chicago,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Landscape Architecture,7641
IA,Des Moines,College of Nursing,In-State Scholarship Fund,Scholarship,Summer Research Program,7126
IA,Des Moines,College of Nursing,Faculty Chair Endowments,Endowment,Summer Research Program,383
KS,Overland Park,College of Business,Campus Museums,Campus Resource,Hospitality Business,8199
KS,Overland Park,College of Business,College of Education,Scholarship,Hospitality Business,8816
KS,Wichita,College of Arts and Sciences,College of Education,Scholarship,Japanese,8561
KS,Wichita,College of Arts and Sciences,College of Engineering,Scholarship,Japanese,5453
AR,Little Rock,College of Natural Science,College of Engineering,Scholarship,Statistics,313
AR,Little Rock,College of Natural Science,Faculty Chair Endowments,Endowment,Statistics,7610
VA,Richmond,College of Social Science,Parents Association,Campus Resource,Psychology,4238
VA,Richmond,College of Social Science,University Libraries,Campus Resource,Psychology,995
OH,Cincinnati,College of Natural Science,College of Veterinary Medicine,Scholarship,Plant Biology,4821
OH,Cincinnati,College of Natural Science,College of Natural Science,Scholarship,Plant Biology,6997
OK,Oklahoma City,College of Social Science,College of Natural Science,Scholarship,Political Science-Prelaw,8906
OK,Oklahoma City,College of Social Science,Campus Recreation,Campus Resource,Political Science-Prelaw,7944
NC,Durham,College of Agriculture and Natural Resources,College of Nursing,Scholarship,Construction Management,267
NC,Durham,College of Agriculture and Natural Resources,Faculty Chair Endowments,Endowment,Construction Management,2245
CO,Denver,College of Arts and Sciences,Campus Museums,Campus Resource,Japanese,10528.5
CO,Denver,College of Arts and Sciences,College of Business,Scholarship,Japanese,250.5
CA,Los Angeles,College of Social Science,University Annual Fund,Endowment,Geographic Information Science,2524
CA,Los Angeles,College of Social Science,Campus Recreation,Campus Resource,Geographic Information Science,1797
OH,Cincinnati,College of Social Science,Alumni Association,Campus Resource,Public Policy,6377
OH,Cincinnati,College of Social Science,Diversity Fund,Endowment,Public Policy,2402
OH,Cleveland,College of Communication Arts and Sciences,University Annual Fund,Endowment,Journalism,6384
AZ,Phoenix,College of Engineering,College of Business,Scholarship,Electrical Engineering,7903
MI,Detroit,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Packaging,7597
IN,Indianapolis,College of Agriculture and Natural Resources,Athletics,Campus Resource,Environmental Studies and Agriscience,8987
FL,Tallahassee,College of Arts and Sciences,In-State Scholarship Fund,Scholarship,Chinese,8642
NC,Raleigh,College of Social Science,College of Natural Science,Scholarship,Public Policy,584
MI,Grand Rapids,College of Political Science,Faculty Chair Endowments,Endowment,College of Political Science,5057
NM,Albuquerque,College of Engineering,Parents Association,Campus Resource,Engineering-No Major,3057
OH,Cincinnati,College of Social Science,Honors Program,Campus Resource,History,7196
NV,North Las Vegas,College of Social Science,Athletics,Campus Resource,Interdisciplinary Studies in Social Science - Social Science Education,8166
NE,Lincoln,College of Social Science,Trustees Fund,Endowment,Sociology,5840
NE,Lincoln,College of Social Science,University Annual Fund,Endowment,Sociology,7931
IA,Des Moines,College of Engineering,University Libraries,Campus Resource,Engineering-No Major,6856
IA,Des Moines,College of Engineering,Campus Recreation,Campus Resource,Engineering-No Major,6400
VA,Alexandria,College of Natural Science,College of Social Science,Scholarship,Computational Mathematics,3281
VA,Alexandria,College of Natural Science,Athletics,Campus Resource,Computational Mathematics,9332
OH,Cincinnati,College of Natural Science,College of Agriculture and Natural Resources,Scholarship,Predental,6195
OH,Cincinnati,College of Natural Science,College of Natural Science,Scholarship,Predental,8426
NM,Albuquerque,College of Communication Arts and Sciences,College of Nursing,Scholarship,Advertising,3870
NM,Albuquerque,College of Communication Arts and Sciences,College of Social Science,Scholarship,Advertising,6248
WA,Spokane,College of Communication Arts and Sciences,College of Social Science,Scholarship,Media and Information,6980
MA,Boston,College of Business,University Annual Fund,Endowment,Supply Chain Management,7047
CT,Hartford,College of Arts and Sciences,Trustees Fund,Endowment,Japanese,3818
TX,Houston,College of Agriculture and Natural Resources,College of Communication Arts and Sciences,Scholarship,Agriculture and Natural Resources-No Preference,9585
CA,San Diego,College of Arts and Sciences,College of Communication Arts and Sciences,Scholarship,Russian,5874
MO,Kansas City,College of Music,Parents Association,Campus Resource,Composition,3045
IL,Chicago,College of Natural Science,College of Arts and Sciences,Scholarship,Genomics & Molecular Genetics,2429
NC,Durham,College of Business,College of Arts and Sciences,Scholarship,Supply Chain Management,3784
CA,San Diego,College of Engineering,University Annual Fund,Endowment,Biosystems Engineering,7928
NE,Omaha,College of Social Science,Trustees Fund,Endowment,Interdisciplinary Studies in Social Science - Social Science Education,572
NY,Rochester,College of Social Science,College of Natural Science,Scholarship,Economics,5724
DC,Washington,College of Agriculture and Natural Resources,Trustees Fund,Endowment,Natural Resource Recreation and Tourism,3820
NY,New York,College of Social Science,University Annual Fund,Endowment,Political Science,4123
CT,Hartford,College of Political Science,College of Business,Scholarship,Comparative Cultures and Politics,8519
OK,Tulsa,College of Business,Trustees Fund,Endowment,Supply Chain Management,8015
TN,Memphis,College of Engineering,Campus Recreation,Campus Resource,Applied Engineering Sciences,3379
CA,Los Angeles,College of Music,Campus Museums,Campus Resource,Music,1128
UT,Salt Lake City,College of Social Science,College of Natural Science,Scholarship,Criminal Justice,2727
CO,Denver,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Natural Resource Recreation and Tourism,13698
CT,Hartford,College of Agriculture and Natural Resources,Diversity Fund,Endowment,Agriculture and Natural Resources-No Preference,7129
CO,Denver,College of Arts and Sciences,Trustees Fund,Endowment,Russian,225
KS,Overland Park,College of Agriculture and Natural Resources,College of Social Science,Scholarship,Animal Science,8176
CT,Hartford,College of Engineering,College of Arts and Sciences,Scholarship,Computer Science,4034
MO,Kansas City,College of Engineering,University Annual Fund,Endowment,Computer Science,2556
NC,Charlotte,College of Business,University Annual Fund,Endowment,Hospitality Business,3641
NC,Charlotte,College of Business,College of Natural Science,Scholarship,Hospitality Business,5240
AL,Birmingham,College of Natural Science,College of Natural Science,Scholarship,Environmental Biology/Microbiology,8571
AL,Birmingham,College of Natural Science,College of Social Science,Scholarship,Environmental Biology/Microbiology,7746
CO,Denver,College of Engineering,Faculty Chair Endowments,Endowment,Materials Science and Engineering,5397
CO,Denver,College of Engineering,College of Arts and Sciences,Scholarship,Materials Science and Engineering,8241
TX,Houston,College of Natural Science,Diversity Fund,Endowment,Neuroscience,3292
TX,Houston,College of Natural Science,Diversity Fund,Endowment,Neuroscience,3336
GA,Atlanta,College of Business,College of Engineering,Scholarship,Accounting,4251
GA,Atlanta,College of Business,Trustees Fund,Endowment,Accounting,6361
NE,Omaha,College of Agriculture and Natural Resources,University Annual Fund,Endowment,Natural Resource Recreation and Tourism,2051
NE,Omaha,College of Agriculture and Natural Resources,Diversity Fund,Endowment,Natural Resource Recreation and Tourism,8712
AZ,Scottsdale,College of Social Science,University Annual Fund,Endowment,World Politics,9728
AZ,Scottsdale,College of Social Science,Faculty Chair Endowments,Endowment,World Politics,8939
CA,San Diego,College of Engineering,College of Business,Scholarship,Applied Engineering Sciences,1093
CA,San Diego,College of Engineering,University Annual Fund,Endowment,Applied Engineering Sciences,554
OH,Cincinnati,College of Natural Science,Alumni Association,Campus Resource,Earth Science Interdepartmental,91
OH,Cincinnati,College of Natural Science,College of Music,Scholarship,Earth Science Interdepartmental,8592
IN,Indianapolis,College of Social Science,College of Agriculture and Natural Resources,Scholarship,Interdisciplinary Studies in Social Science,3912
IN,Indianapolis,College of Social Science,Athletics,Campus Resource,Interdisciplinary Studies in Social Science,1778
CO,Denver,College of Education,Campus Museums,Campus Resource,Education,4717.5
CO,Denver,College of Education,College of Nursing,Scholarship,Education,13339.5
CO,Denver,College of Natural Science,Campus Museums,Campus Resource,Human Biology,11287.5
CO,Denver,College of Natural Science,College of Nursing,Scholarship,Human Biology,7782
CO,Denver,College of Natural Science,University Annual Fund,Endowment,Environmental Biology/Zoology,5281.5
CO,Denver,College of Natural Science,College of Nursing,Scholarship,Environmental Biology/Zoology,7114.5
CA,San Francisco,College of Arts and Sciences,University Annual Fund,Endowment,Art History and Visual Culture,5239
CA,San Francisco,College of Arts and Sciences,University Libraries,Campus Resource,Art History and Visual Culture,2779
TX,Austin,College of Natural Science,Trustees Fund,Endowment,Biochemistry and Molecular Biology,5779
TX,Austin,College of Natural Science,Campus Recreation,Campus Resource,Biochemistry and Molecular Biology,24261
TX,Austin,College of Natural Science,College of Agriculture and Natural Resources,Scholarship,Biochemistry and Molecular Biology,22141
TX,Austin,College of Natural Science,Trustees Fund,Endowment,Biochemistry and Molecular Biology,29033
AZ,Phoenix,College of Nursing,University Libraries,Campus Resource,Nursing,1117
AZ,Phoenix,College of Nursing,College of Natural Science,Scholarship,Nursing,1620
TX,Austin,College of Natural Science,University Annual Fund,Endowment,Environmental Biology/Plant Biol,7234
TX,Austin,College of Natural Science,Parents Association,Campus Resource,Environmental Biology/Plant Biol,9783
KS,Kansas City,College of Social Science,University Annual Fund,Endowment,Anthropology,368
KS,Kansas City,College of Social Science,Faculty Chair Endowments,Endowment,Anthropology,3804
TX,Houston,College of Business,College of Social Science,Scholarship,Marketing,1758
TX,Houston,College of Business,Faculty Chair Endowments,Endowment,Marketing,4948
CO,Denver,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Humanities-Prelaw,2307
CO,Denver,College of Arts and Sciences,University Annual Fund,Endowment,Humanities-Prelaw,7560
KS,Overland Park,College of Natural Science,In-State Scholarship Fund,Scholarship,Biomedical Laboratory Science,1434
KS,Overland Park,College of Natural Science,Faculty Chair Endowments,Endowment,Biomedical Laboratory Science,9725
VA,Alexandria,College of Engineering,Campus Museums,Campus Resource,Applied Engineering Sciences,6032
VA,Alexandria,College of Engineering,Faculty Chair Endowments,Endowment,Applied Engineering Sciences,5550
TX,Houston,College of Political Science,University Libraries,Campus Resource,Comparative Cultures and Politics,1437
TX,Houston,College of Political Science,College of Engineering,Scholarship,Comparative Cultures and Politics,464
VA,Richmond,College of Social Science,College of Engineering,Scholarship,Geography,8916
VA,Richmond,College of Social Science,College of Agriculture and Natural Resources,Scholarship,Geography,1198
CA,San Diego,College of Natural Science,In-State Scholarship Fund,Scholarship,Physical Science Interdepartmental,9344
CA,San Diego,College of Natural Science,University Annual Fund,Endowment,Physical Science Interdepartmental,4018
TX,Houston,College of Arts and Sciences,College of Natural Science,Scholarship,Humanities-Prelaw,892
AR,Little Rock,College of Education,University Libraries,Campus Resource,Special Education-Learning Disabilities,1858
RI,Providence,College of Communication Arts and Sciences,University Libraries,Campus Resource,Journalism,4090
IA,Cedar Rapids,College of Natural Science,College of Natural Science,Scholarship,Statistics,5165
TX,Houston,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Fisheries and Wildlife,5981
MI,Lansing,College of Arts and Sciences,Diversity Fund,Endowment,English,4356
CO,Denver,College of Arts and Sciences,Athletics,Campus Resource,Japanese,6054
UT,Salt Lake City,College of Natural Science,Minority Scholarship Fund,Scholarship,Biochemistry and Molecular Biology/Biotechnology,8925
AZ,Phoenix,College of Agriculture and Natural Resources,In-State Scholarship Fund,Scholarship,Horticulture,4328
TN,Memphis,College of Social Science,Trustees Fund,Endowment,Human Development and Family Studies,5845
IA,Cedar Rapids,College of Social Science,Alumni Association,Campus Resource,History Education,6229
VA,Richmond,College of Agriculture and Natural Resources,University Annual Fund,Endowment,Packaging,6431
FL,Miami,College of Natural Science,University Annual Fund,Endowment,Microbiology,1700
CA,San Francisco,College of Arts and Sciences,College of Natural Science,Scholarship,Interdisciplinary Humanities,4510
CT,Hartford,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Chinese,6074
CA,Los Angeles,College of Engineering,Faculty Chair Endowments,Endowment,Applied Engineering Sciences,9725
FL,Orlando,College of Business,University Libraries,Campus Resource,Accounting,41
TX,Dallas,College of Natural Science,Trustees Fund,Endowment,Chemistry,3349
CA,Los Angeles,College of Natural Science,University Libraries,Campus Resource,Biochemistry and Molecular Biology/Biotechnology,2879
IL,Chicago,College of Business,Parents Association,Campus Resource,Accounting,4065
KS,Overland Park,College of Political Science,Campus Recreation,Campus Resource,Social Relations and Policy,714
TX,Dallas,College of Business,College of Business,Scholarship,Human Resource Management,6051
CA,San Francisco,College of Engineering,College of Business,Scholarship,Environmental Engineering,2119
VA,Alexandria,College of Arts and Sciences,In-State Scholarship Fund,Scholarship,Chinese,1563
LA,Baton Rouge,College of Arts and Sciences,Diversity Fund,Endowment,Arabic,6182
RI,Providence,College of Social Science,College of Arts and Sciences,Scholarship,Political Science-Prelaw,9292
MO,St. Louis,College of Natural Science,College of Arts and Sciences,Scholarship,Human Biology,4976
MO,St. Louis,College of Natural Science,University Annual Fund,Endowment,Human Biology,9717
NY,New York,College of Agriculture and Natural Resources,Diversity Fund,Endowment,Natural Resource Recreation and Tourism,9079
NY,New York,College of Agriculture and Natural Resources,Athletics,Campus Resource,Natural Resource Recreation and Tourism,4240
NY,New York,College of Business,College of Nursing,Scholarship,Hospitality Business,6155
NY,New York,College of Business,College of Nursing,Scholarship,Hospitality Business,600
CO,Denver,College of Music,College of Nursing,Scholarship,Composition,5217
CO,Denver,College of Music,College of Engineering,Scholarship,Composition,3621
CT,Hartford,College of Social Science,University Annual Fund,Endowment,Criminal Justice,243
CT,Hartford,College of Social Science,Campus Museums,Campus Resource,Criminal Justice,7188
NE,Lincoln,College of Agriculture and Natural Resources,Campus Museums,Campus Resource,Entomology,8941
NE,Lincoln,College of Agriculture and Natural Resources,University Annual Fund,Endowment,Entomology,7547
NY,New York,College of Political Science,Faculty Chair Endowments,Endowment,Social Relations and Policy,7641
NY,New York,College of Political Science,Athletics,Campus Resource,Social Relations and Policy,4894
TX,Dallas,College of Natural Science,College of Social Science,Scholarship,Biochemistry and Molecular Biology,383
TX,Dallas,College of Natural Science,University Annual Fund,Endowment,Biochemistry and Molecular Biology,2646
PA,Philadelphia,College of Veterinary Medicine,College of Natural Science,Scholarship,Preveterinary,8816
PA,Philadelphia,College of Veterinary Medicine,College of Natural Science,Scholarship,Preveterinary,2468
PA,Philadelphia,College of Natural Science,College of Social Science,Scholarship,Human Biology,5453
PA,Philadelphia,College of Natural Science,Faculty Chair Endowments,Endowment,Human Biology,6148
AR,Little Rock,College of Nursing,Faculty Chair Endowments,Endowment,Summer Research Program,7610
AR,Little Rock,College of Nursing,Trustees Fund,Endowment,Summer Research Program,7315
NV,Henderson,College of Music,Alumni Association,Campus Resource,Composition,995
NV,Henderson,College of Music,College of Arts and Sciences,Scholarship,Composition,4217
CA,Los Angeles,College of Social Science,University Libraries,Campus Resource,Criminal Justice,6997
CA,Los Angeles,College of Social Science,Faculty Chair Endowments,Endowment,Criminal Justice,4745
NY,New York,College of Music,University Annual Fund,Endowment,Composition,7944
NY,New York,College of Music,Trustees Fund,Endowment,Composition,1001
FL,Jacksonville,College of Natural Science,Athletics,Campus Resource,Environmental Geosciences,2245
FL,Jacksonville,College of Natural Science,Diversity Fund,Endowment,Environmental Geosciences,8078
AZ,Phoenix,College of Natural Science,University Libraries,Campus Resource,Preoptometry,167
AZ,Phoenix,College of Natural Science,Honors Program,Campus Resource,Preoptometry,3496
CO,Denver,College of Natural Science,College of Business,Scholarship,Neuroscience,2695.5
CO,Denver,College of Natural Science,Minority Scholarship Fund,Scholarship,Neuroscience,13440
MO,St. Louis,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Humanities-Prelaw,2402
MO,St. Louis,College of Arts and Sciences,College of Agriculture and Natural Resources,Scholarship,Humanities-Prelaw,1858
CO,Denver,College of Social Science,College of Natural Science,Scholarship,Anthropology,11896.5
CO,Denver,College of Social Science,Minority Scholarship Fund,Scholarship,Anthropology,10828.5
NV,Las Vegas,College of Engineering,College of Arts and Sciences,Scholarship,Computer Science,6400
NV,Las Vegas,College of Engineering,University Annual Fund,Endowment,Computer Science,9640
IL,Chicago,College of Education,College of Natural Science,Scholarship,Kinesiology,9332
IL,Chicago,College of Education,College of Political Science,Scholarship,Kinesiology,9532
WI,Madison,College of Natural Science,University Annual Fund,Endowment,Environmental Biology/Plant Biol,8426
WI,Madison,College of Natural Science,University Annual Fund,Endowment,Environmental Biology/Plant Biol,5109
MI,Grand Rapids,College of Communication Arts and Sciences,Trustees Fund,Endowment,Media and Information,6248
MI,Grand Rapids,College of Communication Arts and Sciences,Alumni Association,Campus Resource,Media and Information,7242
CO,Denver,College of Agriculture and Natural Resources,College of Agriculture and Natural Resources,Scholarship,Landscape Architecture,7860
CO,Denver,College of Agriculture and Natural Resources,College of Agriculture and Natural Resources,Scholarship,Landscape Architecture,2796
MA,Boston,College of Music,University Libraries,Campus Resource,Composition,6246
AL,Mobile,College of Business,College of Music,Scholarship,Human Resource Management,6345
MO,Kansas City,College of Business,College of Music,Scholarship,Finance,8298
MI,Detroit,College of Agriculture and Natural Resources,College of Agriculture and Natural Resources,Scholarship,Horticulture,3403
CO,Denver,College of Engineering,Parents Association,Campus Resource,Mechanical Engineering,5797.5
IL,Chicago,College of Arts and Sciences,College of Agriculture and Natural Resources,Scholarship,Interdisciplinary Humanities,960
AZ,Scottsdale,College of Education,Diversity Fund,Endowment,Education,2679
CT,Hartford,College of Arts and Sciences,Trustees Fund,Endowment,Theatre,7746
CT,Hartford,College of Arts and Sciences,College of Music,Scholarship,Theatre,999
TN,Memphis,College of Natural Science,College of Arts and Sciences,Scholarship,Statistics,5494
TN,Memphis,College of Natural Science,College of Arts and Sciences,Scholarship,Statistics,9280
IL,Chicago,College of Arts and Sciences,College of Agriculture and Natural Resources,Scholarship,Philosophy,3336
IL,Chicago,College of Arts and Sciences,Athletics,Campus Resource,Philosophy,8898
MI,Lansing,College of Business,Campus Museums,Campus Resource,Accounting,6361
MI,Lansing,College of Business,Trustees Fund,Endowment,Accounting,2639
CA,San Diego,College of Arts and Sciences,Diversity Fund,Endowment,French,8712
CA,San Diego,College of Arts and Sciences,University Libraries,Campus Resource,French,3885
FL,Orlando,College of Agriculture and Natural Resources,University Annual Fund,Endowment,Fisheries and Wildlife,8939
FL,Orlando,College of Agriculture and Natural Resources,Alumni Association,Campus Resource,Fisheries and Wildlife,9864
TN,Nashville,College of Education,Honors Program,Campus Resource,Education,554
TN,Nashville,College of Education,Honors Program,Campus Resource,Education,3478
CO,Denver,College of Natural Science,College of Arts and Sciences,Scholarship,Preoptometry,12888
CO,Denver,College of Natural Science,College of Social Science,Scholarship,Preoptometry,4096.5
OH,Cincinnati,College of Communication Arts and Sciences,Trustees Fund,Endowment,Journalism,1778
OH,Cincinnati,College of Communication Arts and Sciences,Faculty Chair Endowments,Endowment,Journalism,4988
CA,Los Angeles,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Arabic,8893
CA,Los Angeles,College of Arts and Sciences,University Annual Fund,Endowment,Arabic,9804
GA,Atlanta,College of Political Science,Trustees Fund,Endowment,College of Political Science,5188
GA,Atlanta,College of Political Science,College of Arts and Sciences,Scholarship,College of Political Science,2963
NY,New York,College of Education,Alumni Association,Campus Resource,Education,4743
NY,New York,College of Education,Minority Scholarship Fund,Scholarship,Education,3392
CO,Denver,College of Political Science,College of Political Science,Scholarship,Social Relations and Policy,4168.5
CO,Denver,College of Political Science,College of Political Science,Scholarship,Social Relations and Policy,5689.5
TN,Memphis,College of Social Science,College of Natural Science,Scholarship,Public Policy,7391
TN,Memphis,College of Social Science,Diversity Fund,Endowment,Public Policy,2952
NC,Raleigh,College of Natural Science,Diversity Fund,Endowment,Biochemistry and Molecular Biology,1620
NC,Raleigh,College of Natural Science,College of Communication Arts and Sciences,Scholarship,Biochemistry and Molecular Biology,2872
TN,Memphis,College of Business,College of Communication Arts and Sciences,Scholarship,Supply Chain Management,9783
TN,Memphis,College of Business,College of Natural Science,Scholarship,Supply Chain Management,2022
CA,Los Angeles,College of Social Science,Campus Museums,Campus Resource,Economics,3804
CA,Los Angeles,College of Social Science,College of Agriculture and Natural Resources,Scholarship,Economics,173
CA,San Diego,College of Arts and Sciences,College of Agriculture and Natural Resources,Scholarship,Arabic,4948
CA,San Diego,College of Arts and Sciences,College of Social Science,Scholarship,Arabic,681
MI,Grand Rapids,College of Music,Trustees Fund,Endowment,Jazz Studies,5040
MI,Grand Rapids,College of Music,University Libraries,Campus Resource,Jazz Studies,6862
TX,Houston,College of Natural Science,University Annual Fund,Endowment,Plant Biology,9725
TX,Houston,College of Natural Science,Trustees Fund,Endowment,Plant Biology,784
TX,San Antonio,College of Business,Diversity Fund,Endowment,Human Resource Management,5550
TX,San Antonio,College of Business,Parents Association,Campus Resource,Human Resource Management,5619
CO,Denver,College of Nursing,Campus Museums,Campus Resource,Nursing,696
CO,Denver,College of Nursing,Faculty Chair Endowments,Endowment,Nursing,8529
CA,Los Angeles,College of Arts and Sciences,College of Arts and Sciences,Scholarship,Art Education,1198
CA,Los Angeles,College of Arts and Sciences,Faculty Chair Endowments,Endowment,Art Education,373
CO,Denver,College of Social Science,College of Arts and Sciences,Scholarship,Geography,6027
CO,Denver,College of Social Science,Campus Museums,Campus Resource,Geography,10927.5
FL,Miami,College of Engineering,Honors Program,Campus Resource,Computer Science,9717
FL,Miami,College of Engineering,University Annual Fund,Endowment,Computer Science,2209
KS,Wichita,College of Natural Science,Campus Recreation,Campus Resource,Plant Biology,4240
KS,Wichita,College of Natural Science,Athletics,Campus Resource,Plant Biology,8877
OH,Cleveland,College of Political Science,College of Arts and Sciences,Scholarship,College of Political Science,600
OH,Cleveland,College of Political Science,College of Music,Scholarship,College of Political Science,6757
OK,Oklahoma City,College of Social Science,College of Agriculture and Natural Resources,Scholarship,Political Science-Prelaw,2414
OK,Oklahoma City,College of Social Science,College of Natural Science,Scholarship,Political Science-Prelaw,2585
CO,Denver,College of Arts and Sciences,University Libraries,Campus Resource,Japanese,1657.5
KY,Louisville,College of Arts and Sciences,Campus Recreation,Campus Resource,Professional Writing,5794
CT,Hartford,College of Arts and Sciences,College of Nursing,Scholarship,Interdisciplinary Humanities,9908
OH,Cincinnati,College of Music,College of Nursing,Scholarship,Composition,6334
MI,Detroit,College of Natural Science,Parents Association,Campus Resource,Actuarial Science,3648
OK,Oklahoma City,College of Agriculture and Natural Resources,College of Natural Science,Scholarship,Construction Management,6330
PA,Philadelphia,College of Communication Arts and Sciences,College of Communication Arts and Sciences,Scholarship,Media and Information,5818
NE,Omaha,College of Agriculture and Natural Resources,College of Social Science,Scholarship,Packaging,7188
NE,Omaha,College of Agriculture and Natural Resources,College of Social Science,Scholarship,Packaging,888
CA,San Diego,College of Social Science,College of Social Science,Scholarship,Social Work,7547
CA,San Diego,College of Social Science,Diversity Fund,Endowment,Social Work,3367
CO,Denver,College of Nursing,University Annual Fund,Endowment,Summer Research Program,7341
CO,Denver,College of Nursing,University Annual Fund,Endowment,Summer Research Program,9774
WA,Seattle,College of Natural Science,Parents Association,Campus Resource,Predental,2646
WA,Seattle,College of Natural Science,College of Natural Science,Scholarship,Predental,1793
UT,Salt Lake City,College of Business,Parents Association,Campus Resource,Finance,2468
